Cant_Comp		Comp_Res		Frec_Comp		Lug_Comp		Unid_Comp		Estrato
	,	NO	,		,		,		,	2
3	,	SI	,	Mensual	,	Brasil	,	Kg	,	2
	,	NO	,		,		,		,	2
1.5	,	SI	,	Quincenal	,	Brasil	,	Kg	,	3
2	,	SI	,	Quincenal	,	Brasil	,	Kg	,	3
2	,	SI	,	Mensual	,	Plaza_Mercado	,	Kg	,	1
1	,	SI	,	Quincenal	,	Supermercado	,	Kg	,	2



